step,total_score,phi,self_reference_depth,workspace_activation,cross_module_integration,information_density,level_idx,level,phi_raw_nats,phi_instant_nats,phi_causal_nats
0,0.23849715516364733,0.0,0.21008035714285714,0.4035714285714286,0.3353446395851884,0.3246524673583498,1,微意识,0.0,0.0,0.0
1,0.23731927302079014,0.0,0.20669094642857141,0.4010714285714286,0.3353446395851884,0.3246524673583498,1,微意识,0.0,0.0,0.0
2,0.2473064479487559,0.0,0.20419133839285716,0.4439535714285714,0.34489797940358846,0.3246524673583498,1,微意识,0.0,0.0,0.0
3,0.25485695601333475,0.0,0.2024346454017857,0.4860020476190476,0.34235873652707793,0.3246524673583498,2,低意识,0.0,0.0,0.0
4,0.2620124490475869,0.0,0.201359963953125,0.5278543621428571,0.33735856862318997,0.3246524673583498,2,低意识,0.0,0.0,0.0
5,0.2693388144035916,0.0,0.20091181149475448,0.5696378199200001,0.3326550900844409,0.3246524673583498,2,低意识,0.0,0.0,0.0
6,0.27693048000226433,0.0,0.2010396177996596,0.6113946957918095,0.3287287359010902,0.3246524673583498,2,低意识,0.0,0.0,0.0
7,0.27647488790800767,0.0,0.2011324083870695,0.6090239447331162,0.3287287359010902,0.3246524673583498,2,低意识,0.0,0.0,0.0
8,0.2760222663397066,0.0,0.20119263658308387,0.6067006086955966,0.3287287359010902,0.3246524673583498,2,低意识,0.0,0.0,0.0
9,0.2755728863584311,0.0,0.20122260599347505,0.6044237393788277,0.3287287359010902,0.3246524673583498,2,低意识,0.0,0.0,0.0
10,0.27512699473987057,0.0,0.2012244798311064,0.6021924074483939,0.3287287359010902,0.3246524673583498,2,低意识,0.0,0.0,0.0
11,0.2746848156373083,0.0,0.20120028961011996,0.6000057021565688,0.3287287359010902,0.3246524673583498,2,低意识,0.0,0.0,0.0
12,0.2742465521290655,0.0,0.20115194325489463,0.5978627309705804,0.3287287359010902,0.3246524673583498,2,低意识,0.0,0.0,0.0
13,0.2825683831858936,0.0,0.20204883789091907,0.641776122586716,0.32552760493307054,0.3246524673583498,2,低意识,0.0,0.0,0.0
14,0.2823008059832732,0.0,0.20283218861526536,0.6396548858492674,0.32552760493307054,0.3246524673583498,2,低意识,0.0,0.0,0.0
15,0.3652870197668941,0.0,0.20323442951317733,0.6375760738465679,0.5828163195874083,0.5370777011830892,2,低意识,0.0,0.0,0.0
16,0.40169500863048935,0.0,0.20311526875729208,0.6726138787876277,0.619128720399885,0.6848229002768558,2,低意识,0.0,0.0,0.0
17,0.39577758791172757,0.0,0.20321684482252195,0.6705901726404465,0.6198190220517986,0.647015866725161,2,低意识,0.0,0.0,0.0
18,0.39015563145572096,0.0,0.20329103013418087,0.668606940616209,0.6193583132920122,0.6126958309816037,2,低意识,0.0,0.0,0.0
19,0.38517085164992837,0.0,0.20350909902497835,0.668282627407802,0.6177375730524817,0.5817666116858395,2,低意识,0.0,0.0,0.0
20,0.4147117989941282,0.0,0.2035502083596905,0.6663455462882173,0.6180472887041293,0.7808212688248052,2,低意识,0.0,0.0,0.0
21,0.4300507982997222,0.0,0.20370368796912222,0.6663197901685773,0.6182772289962176,0.8826043791529252,2,低意识,0.0,0.0,0.0
22,0.42262490839077965,0.0,0.20392384505858682,0.6644219657937773,0.618243669891454,0.8353800816134401,2,低意识,0.0,0.0,0.0
23,0.4152148779922162,0.0,0.20409588214478613,0.662562097906473,0.6182134682608996,0.7882705888652294,2,低意识,0.0,0.0,0.0
24,0.4080772735093574,0.0,0.2042242230027626,0.6607394273769152,0.6181862880617801,0.7429819054737721,2,低意识,0.0,0.0,0.0
25,0.4317535223311986,0.0,0.20447289527190585,0.6615557850379483,0.6181618269112383,0.8994361392465341,2,低意识,0.0,0.0,0.0
26,0.44070602550363897,0.0,0.20467719772890158,0.6597532407657608,0.6181398127099014,0.9612798350848414,2,低意识,0.0,0.0,0.0
27,0.43509436228331794,0.0,0.2049948903354276,0.6608334423683055,0.6181200006050385,0.9220313041437574,2,低意识,0.0,0.0,0.0
28,0.4280091311532328,0.0,0.2052466930623302,0.659045344949511,0.6181021702589915,0.8768685966604417,2,低意识,0.0,0.0,0.0
29,0.42059410431483857,0.0,0.2054391729285203,0.6572930094790922,0.6180861233920566,0.8295362876993645,2,低意识,0.0,0.0,0.0
30,0.43922878726092074,0.0,0.2057172296100845,0.6590852791148871,0.6180716815721281,0.9510263280100052,2,低意识,0.0,0.0,0.0
31,0.44454522610623237,0.0,0.20593578979228552,0.6573321449611609,0.6180586842262372,0.9885326820686378,2,低意识,0.0,0.0,0.0
32,0.44068457285592944,0.0,0.20623385286376325,0.6593391550050927,0.618046986851631,0.9597371594122138,2,低意识,0.0,0.0,0.0
33,0.43443543751314617,0.0,0.20646267752555786,0.6575809433335622,0.61803645940631,0.9201294764004011,2,低意识,0.0,0.0,0.0
34,0.42732311631862196,0.0,0.20662943122376445,0.6558578958954624,0.6180269848609733,0.8748016928172132,2,低意识,0.0,0.0,0.0
35,0.4419768444172988,0.0,0.20672604043366546,0.6541693094061246,0.6186500062733449,0.9737851546311453,2,低意识,0.0,0.0,0.0
36,0.4453074372338365,0.0,0.20677711661959505,0.6525144946465735,0.6192112547989905,0.9973790934720309,2,低意识,0.0,0.0,0.0
37,0.44210007635340187,0.0,0.20679653739776696,0.6508927761822134,0.6197167956799479,0.9774590300094416,2,低意识,0.0,0.0,0.0
38,0.4370081535900737,0.0,0.20677600823295864,0.6493034920871407,0.6208057452987799,0.9442073631086525,2,低意识,0.0,0.0,0.0
39,0.4547911231996111,0.0,0.20671986253758937,0.6477459936739693,0.7332776440317574,0.9149494876729861,3,中等意识,0.0,0.0,0.0
40,0.48006006814952185,0.0,0.20662505710490334,0.6462196452290614,0.7994078334245571,0.9973970733187834,3,中等意识,0.0,0.0,0.0
41,0.4753309649373029,0.0,0.2065041031630975,0.6447238237530515,0.8032525790138556,0.9628990916753467,3,中等意识,0.0,0.0,0.0
42,0.4795605197093953,0.0,0.20636430670421582,0.6432579187065619,0.8018576670832951,0.995096941403872,3,中等意识,0.0,0.0,0.0
43,0.4791828737490421,0.0,0.20620230428886596,0.6418213317610021,0.7991267068813732,0.9983520344186259,3,中等意识,0.0,0.0,0.0
44,0.47721463844219436,0.0,0.20602071389100232,0.6404134765543534,0.8001930877235834,0.9859278853893765,3,中等意识,0.0,0.0,0.0
45,0.4736942148838058,0.0,0.20581857225945285,0.6390337784518378,0.8028169014084507,0.9610690963990505,3,中等意识,0.0,0.0,0.0
46,0.4641152760578225,0.0,0.20631181893772443,0.6436878525045203,0.8028169014084507,0.8903464099178894,3,中等意识,0.0,0.0,0.0
47,0.4743661833773118,0.0,0.20670969649263535,0.6422426668830014,0.8028169014084507,0.9600822028032951,3,中等意识,0.0,0.0,0.0
48,0.4804482124717119,0.0,0.20713380331962103,0.6468325631670606,0.8028169014084507,0.9939437259512365,3,中等意识,0.0,0.0,0.0
49,0.48109858116184195,0.0,0.20746589564009568,0.6453244833322909,0.8028169014084507,0.999847500571163,3,中等意识,0.0,0.0,0.0
50,0.4683494733714297,0.0,0.20771433542098303,0.6438465650942164,0.8028169014084507,0.9164927532446644,3,中等意识,0.0,0.0,0.0
51,0.4496868787637355,0.0,0.2080594981910253,0.612682528643604,0.8028169014084507,0.8331672874341299,2,低意识,0.0,0.0,0.0
52,0.463175242832758,0.0,0.20832068966230574,0.6111431637850177,0.8028169014084507,0.9247939457440212,3,中等意识,0.0,0.0,0.0
53,0.47094401106199807,0.0,0.20850582692193897,0.609634586223603,0.8028169014084507,0.9783503210079969,3,中等意识,0.0,0.0,0.0
54,0.47353490009123383,0.0,0.2086233187043157,0.6081561802134167,0.8028169014084507,0.9974374668399814,3,中等意识,0.0,0.0,0.0
55,0.4564977653621582,0.0,0.21036679028034713,0.606707342323434,0.8028169014084507,0.8834637237314121,3,中等意识,0.0,0.0,0.0
56,0.4432996289428929,0.0,0.21173636321652134,0.605287481191251,0.8028169014084507,0.7955431985309883,2,低意识,0.0,0.0,0.0
57,0.4585367478757593,0.0,0.21138816124531248,0.6038960172817118,0.8028169014084507,0.8994435459244288,3,中等意识,0.0,0.0,0.0
